transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0xc910867468fbf491e27db13f3c1a6f9af1dd7d356addbaed1cadaa40e45e6322,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,0x3D68E2fbaDB2160C920408Ef4579C3c3B11a68cE,Coinbase Prime Deposit (0x3D6),false,,external,2024-05-07T17:17:35Z,19819625,0x457297d3132f7d0627dddccb5730421a44a3712bc13e11ade79c1bd793a8341b,Ethereum,ETH,18,338,ethereum,1035801,ethereum
0xc7002bba9b3220781a876f04fc64689eaa79afdf1425b5a11acf4b6b8a36b62e,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,beaverbuild (0x952),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-05-06T10:10:23Z,19810357,0x2270f532f8a9f289a42a52021d7f16e9e6c5bfd412fb888c59f8aa841a321b6d,Ethereum,ETH,18,0.02991964079395963,ethereum,95.78862759108559,ethereum
0x1a461a9ba263e3a4dd377aac428a103500c423dd8ff79e2d573ed4fd549a0576,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,beaverbuild (0x952),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-05-03T22:36:23Z,19792607,0x4fdcca6aba4e6050e3cdb155fecfd5113bb2a0c3ccd2cc16ea9d8176f424ddc1,Ethereum,ETH,18,0.04072133796295156,ethereum,126.8758799045478,ethereum
0x2759f0b5311e0c538cdcb31000e92f32fa1af6bfd85d1320f506d6ef04488e0b,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,beaverbuild (0x952),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-05-03T19:09:59Z,19791584,0x842573aa5545b3b0e0af29b47914132fc718dbb4d51aa75e06a649092abd83e4,Ethereum,ETH,18,0.013208399623297088,ethereum,40.47027227778981,ethereum
0x1e84ec0cbcac21854eb332c75dfa841d64c56d6a1621d4c61960249e0cd487b5,0xe523Fc253BcdEA8373E030ee66e00c6864776d70,Pantera Capital (0xe52),false,0xd52055A39a3d2f7505C739f981f296Ea31B50191,Anchorage Digital: Custodian (0xd52),false,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,token,2024-05-03T16:30:59Z,19790792,0xae6c4b159be925fa69ef1562205231f43ef16774ae7f808ca117e29cbb7b49be,USD Coin,USDC,6,2680000,usd-coin,2680000,ethereum
0x63da04df6f86e70b613976882ff5d8148daac76c49b81991ec60fee0a4051292,0xCD531Ae9EFCCE479654c4926dec5F6209531Ca7b,Coinbase Prime: Hot Wallet (0xCD5),false,0xe523Fc253BcdEA8373E030ee66e00c6864776d70,Pantera Capital (0xe52),false,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,token,2024-05-03T14:54:35Z,19790312,0x74a20721f6618abcb3b447ebd75e9a26174741b7ed13760aa0e9f96eaf492194,USD Coin,USDC,6,2680000,usd-coin,2680000,ethereum
0xa588d652965bf5151ab691d379f1b2f45138bace930791e409937a1c0dc22c64,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,Titan Builder: titanbuilder.eth (0x483),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-04-28T12:39:23Z,19753871,0xcf564486a6eadc69bec82251a8255326b0017ab40eac38ad5da134569bcec8bf,Ethereum,ETH,18,0.02845145904709261,ethereum,93.70857906127563,ethereum
0xb9dcd86abec04e6f025c4b1b5d0c891013d038faf0b8ac38f673a0294876d9a3,0x9E1921C75cc2DE9Cde8db6D488f4651E50e6220C,Stader Labs: Investors (0x9E1),true,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,0x30D20208d987713f46DFD34EF128Bb16C404D10f,token,2024-04-26T06:41:59Z,19737820,0x33a0802b078058e9d443594a08fa4900740014ae88abf8ce2bced0829958571e,Stader,SD,18,54527.869999999995,stader,40657.124957269996,ethereum
0xfc8fe316ccbbf7a8df77e656e8d019cfd68bbfc51914b9b1d1cc3bf7342362fa,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,Titan Builder: titanbuilder.eth (0x483),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-04-26T03:24:47Z,19736837,0x02fffcf95f8faed30ee48d5fb26a36d9c244445246553551a79ca8e63a0a6b4e,Ethereum,ETH,18,0.11077504564734267,ethereum,349.2349476600949,ethereum
0x343baca2d7182d64e417ab6deeb7b05878e2ac5e43586f4fab7be9f2c92f7fb3,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,beaverbuild (0x952),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-04-25T10:58:47Z,19731936,0x54fab0c673f17537a45aa33e784e7aab1ed99f7f13b0704ae4d38e7aadade419,Ethereum,ETH,18,0.039861214763631705,ethereum,123.0388143866067,ethereum
0xc9de0e8ea51e0efee994c494592b845c4bcd831402fc85bbeb7e36d3e71eb569,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,Titan Builder: titanbuilder.eth (0x483),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-04-25T10:39:59Z,19731842,0x5ad9aedd04159618f71f19559a137856ad9ba169c3164208f4a4e0ff4ee280bb,Ethereum,ETH,18,0.057624307283812494,ethereum,177.68858521114572,ethereum
0x5378d6f4bec3ad1d4bcf0619470325b003d463bdf3e17d230f60a6305b2aeb84,0xe523Fc253BcdEA8373E030ee66e00c6864776d70,Pantera Capital (0xe52),false,0xd52055A39a3d2f7505C739f981f296Ea31B50191,Anchorage Digital: Custodian (0xd52),false,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,token,2024-04-19T16:05:11Z,19690557,0xc92904c25cb614a77d54324a3f7532b5b813bcb468108251052870ce49955b7e,USD Coin,USDC,6,1758503,usd-coin,1758503,ethereum
0x8e40bb973a7ec1cc314328417d8ea3fd68d1babe56c8cc6d00c3ca31a5e0cb0d,0xCD531Ae9EFCCE479654c4926dec5F6209531Ca7b,Coinbase Prime: Hot Wallet (0xCD5),false,0xe523Fc253BcdEA8373E030ee66e00c6864776d70,Pantera Capital (0xe52),false,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,token,2024-04-19T15:35:11Z,19690408,0x8b392e2ca0ed805cd3d16d966f9a161376c4b39697bc0373f96a6f1839773a5b,USD Coin,USDC,6,1758503,usd-coin,1758503,ethereum
0x75c0ef039214705db41e47767ee41a148778f6755d4c6b86bf4b6df8abfb50a7,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,beaverbuild (0x952),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-04-19T09:09:35Z,19688497,0x991ea0579daeb751ee4bf6c95ec683d7a1396f08ee35564560320b1fdf53653e,Ethereum,ETH,18,0.026465938753400906,ethereum,82.32786033959172,ethereum
0xd748f5cf4af13b14fed0c8b60e2334fa7976930e592681ffa98b1fbde95818f6,0x4838B106FCe9647Bdf1E7877BF73cE8B0BAD5f97,Titan Builder: titanbuilder.eth (0x483),false,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,,external,2024-04-18T13:53:59Z,19682769,0xdfab9051d8f489ebed029d3462a6490454156a767083ed67f8aa0bc0252728dc,Ethereum,ETH,18,0.01992424391300298,ethereum,60.44338178912062,ethereum
0x318cb0a85cd87df130bc02e0dfef4855852dbf9a2abf5d6833e4d49a9d98819c,0x24DE2762ccC97e44CCeA68CaF8270dA1820b3aa6,Pantera Capital (0x24D),false,0x3D68E2fbaDB2160C920408Ef4579C3c3B11a68cE,Coinbase Prime Deposit (0x3D6),false,,external,2024-04-17T19:27:47Z,19677280,0x0558f0cc9b7d41992c23a1156529d3e87d2b0121f21d6a2e0fa73f226d74639b,Ethereum,ETH,18,108,ethereum,324531.36000000004,ethereum